source_pricelist,source_page,source_line,section,context,product_name,article_number,dimensions_mm,weight_kg,price_eur_ex_vat,eur_usd_rate,price_usd_ex_vat,price_usd_rounded,retail_suffix_note,new_product_marker,raw_line
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,9,INVERTERS,VE.Bus,Inverter 12/250 VE.Direct Schuko*,PIN121251200,86 x 165 x 260,2.4,93.00,1.1461,106.59,107,,,"Inverter 12/250 VE.Direct Schuko* PIN121251200 86 x 165 x 260 √ 2,4 € 93,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,10,INVERTERS,VE.Bus,Inverter 12/375 VE.Direct Schuko*,PIN121371200,86 x 165 x 260,3.0,120.00,1.1461,137.53,138,,,"Inverter 12/375 VE.Direct Schuko* PIN121371200 86 x 165 x 260 √ 3,0 € 120,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,11,INVERTERS,VE.Bus,Inverter 12/500 VE.Direct Schuko*,PIN121501200,86 x 172 x 275,3.9,150.00,1.1461,171.91,172,,,"Inverter 12/500 VE.Direct Schuko* PIN121501200 86 x 172 x 275 √ 3,9 € 150,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,12,INVERTERS,VE.Bus,Inverter 12/800 VE.Direct Schuko*,PIN121801200,105 x 216 x 305,5.5,243.00,1.1461,278.50,278,,,"Inverter 12/375 VE.Direct Inverter 12/800 VE.Direct Schuko* PIN121801200 105 x 216 x 305 √ 5,5 € 243,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,13,INVERTERS,VE.Bus,Inverter 12/1200 VE.Direct Schuko*,PIN122121210,117 x 232 x 362,7.4,286.00,1.1461,327.78,328,,,"Inverter 12/1200 VE.Direct Schuko* PIN122121210 117 x 232 x 362 √ 7,4 € 286,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,14,INVERTERS,VE.Bus,Inverter 12/1600 VE.Direct Schuko*,PIN122161200,117 x 231 x 395,7.4,333.00,1.1461,381.65,382,,,"Inverter 12/1600 VE.Direct Schuko* PIN122161200 117 x 231 x 395 √ 7,4 € 333,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,16,INVERTERS,VE.Bus,Inverter 24/250 VE.Direct Schuko*,PIN241251200,86 x 165 x 260,2.4,103.00,1.1461,118.05,118,,,"Inverter 24/250 VE.Direct Schuko* PIN241251200 86 x 165 x 260 √ 2,4 € 103,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,17,INVERTERS,VE.Bus,Inverter 24/375 VE.Direct Schuko*,PIN241371200,86 x 165 x 260,3.0,133.00,1.1461,152.43,152,,,"IEC Schuko Inverter 24/375 VE.Direct Schuko* PIN241371200 86 x 165 x 260 √ 3,0 € 133,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,18,INVERTERS,VE.Bus,Inverter 24/500 VE.Direct Schuko*,PIN241501200,86 x 172 x 275,3.9,166.00,1.1461,190.25,190,,,"Inverter 24/500 VE.Direct Schuko* PIN241501200 86 x 172 x 275 √ 3,9 € 166,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,19,INVERTERS,VE.Bus,Inverter 24/800 VE.Direct Schuko*,PIN241801200,105 x 216 x 305,5.5,270.00,1.1461,309.45,309,,,"Inverter 24/800 VE.Direct Schuko* PIN241801200 105 x 216 x 305 √ 5,5 € 270,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,20,INVERTERS,VE.Bus,Inverter 24/1200 VE.Direct Schuko*,PIN242121200,117 x 232 x 327,7.4,340.00,1.1461,389.67,390,,,"Inverter 24/1200 VE.Direct Schuko* PIN242121200 117 x 232 x 327 √ 7,4 € 340,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,22,INVERTERS,VE.Bus,Inverter C 12/1200,CIN121220000,375 x 214 x 110,10.0,418.00,1.1461,479.07,479,,,"AU/NZ UK Inverter C 12/1200 CIN121220000 375 x 214 x 110 √ √ 10 € 418,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,23,INVERTERS,VE.Bus,Inverter C 12/1600,CIN122160000,375 x 214 x 110,10.0,588.00,1.1461,673.91,674,,,"Inverter C 12/1600 CIN122160000 375 x 214 x 110 √ √ 10 € 588,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,24,INVERTERS,VE.Bus,Inverter 12/1600 Smart,PIN122161000,485 x 219 x 125,12.0,574.00,1.1461,657.86,658,,,"Inverter 12/1600 Smart PIN122161000 485 x 219 x 125 √ 12 € 574,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,25,INVERTERS,VE.Bus,Inverter C 12/2000,CIN122200000,520 x 255 x 125,13.0,675.00,1.1461,773.62,774,,,"Inverter C 12/2000 CIN122200000 520 x 255 x 125 √ √ 13 € 675,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,26,INVERTERS,VE.Bus,Inverter 12/2000 Smart,PIN122201000,485 x 219 x 125,13.0,650.00,1.1461,744.96,745,,,"Inverter 12/2000 Smart PIN122201000 485 x 219 x 125 √ 13 € 650,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,27,INVERTERS,VE.Bus,Inverter 12/3000,PIN123020000,362 x 258 x 218,18.0,1020.00,1.1461,1169.02,1169,,,"Inverter 12/3000 PIN123020000 362 x 258 x 218 √ √ 18 € 1.020,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,28,INVERTERS,VE.Bus,Inverter 12/3000 Smart,PIN122300000,533 x 285 x 150,18.0,875.00,1.1461,1002.84,1003,,,"Inverter 12/3000 Smart PIN122300000 533 x 285 x 150 √ 18 € 875,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,30,INVERTERS,Inverter C,Inverter C 24/1600,CIN242160000,375 x 214 x 110,10.0,588.00,1.1461,673.91,674,,,"Inverter C 24/1600 CIN242160000 375 x 214 x 110 √ √ 10 € 588,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,31,INVERTERS,Inverter C,Inverter 24/1600 Smart,PIN242161000,485 x 219 x 125,12.0,574.00,1.1461,657.86,658,,,"Inverter 24/1600 Smart PIN242161000 485 x 219 x 125 √ 12 € 574,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,32,INVERTERS,Inverter C,Inverter C 24/2000,CIN242200000,520 x 255 x 125,13.0,711.00,1.1461,814.88,815,,,"Inverter C 24/2000 CIN242200000 520 x 255 x 125 √ √ 13 € 711,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,33,INVERTERS,Inverter C,Inverter 24/2000 Smart,PIN242201000,485 x 219 x 125,13.0,684.00,1.1461,783.93,784,,,"Inverter 24/2000 Smart PIN242201000 485 x 219 x 125 √ 13 € 684,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,34,INVERTERS,Inverter C,Inverter 24/3000,PIN243020000,362 x 258 x 218,18.0,1020.00,1.1461,1169.02,1169,,,"Inverter 24/3000 PIN243020000 362 x 258 x 218 √ √ 18 € 1.020,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,35,INVERTERS,Inverter C,Inverter 24/3000 Smart,PIN242300000,485 x 285 x 150,19.0,921.00,1.1461,1055.56,1056,,,"Inverter 24/3000 Smart PIN242300000 485 x 285 x 150 √ 19 € 921,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,36,INVERTERS,Inverter C,Inverter 24/5000,PIN245020000,444 x 328 x 240,28.0,1778.00,1.1461,2037.77,2038,,,"Inverter 24/5000 PIN245020000 444 x 328 x 240 √ √ 28 € 1.778,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,37,INVERTERS,Inverter C,Inverter 24/5000 Smart,PIN242501000,595 x 295 x 160,29.0,1611.00,1.1461,1846.37,1846,,,"Inverter 24/5000 Smart PIN242501000 595 x 295 x 160 √ 29 € 1.611,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,40,INVERTERS,Inverter C,Inverter 48/250 VE.Direct Schuko*,PIN481251200,86 x 165 x 260,2.4,103.00,1.1461,118.05,118,,,"Inverter Inverter 48/250 VE.Direct Schuko* PIN481251200 86 x 165 x 260 √ 2,4 € 103,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,41,INVERTERS,Inverter C,Inverter 48/375 VE.Direct Schuko*,PIN481371200,86 x 165 x 260,3.0,133.00,1.1461,152.43,152,,,"24/2000 Smart Inverter 48/375 VE.Direct Schuko* PIN481371200 86 x 165 x 260 √ 3,0 € 133,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,42,INVERTERS,Inverter C,Inverter 48/500 VE.Direct Schuko*,PIN481501200,86 x 172 x 275,3.9,166.00,1.1461,190.25,190,,,"Inverter 48/500 VE.Direct Schuko* PIN481501200 86 x 172 x 275 √ 3,9 € 166,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,43,INVERTERS,Inverter C,Inverter 48/800 VE.Direct Schuko*,PIN481801200,105 x 216 x 305,5.8,270.00,1.1461,309.45,309,,,"Inverter 48/800 VE.Direct Schuko* PIN481801200 105 x 216 x 305 √ 5,8 € 270,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,44,INVERTERS,Inverter C,Inverter 48/1200 VE.Direct Schuko*,PIN482121200,117 x 232 x 327,7.4,357.00,1.1461,409.16,409,,,"Inverter 48/1200 VE.Direct Schuko* PIN482121200 117 x 232 x 327 √ 7,4 € 357,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,45,INVERTERS,Inverter C,Inverter 48/2000 Smart,PIN482201000,485 x 219 x 125,13.0,499.00,1.1461,571.90,572,,,"Inverter 48/2000 Smart PIN482201000 485 x 219 x 125 √ 13 € 499,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,46,INVERTERS,Inverter C,Inverter 48/3000,PIN483020000,362 x 258 x 218,18.0,647.00,1.1461,741.53,742,,,"Inverter 48/3000 PIN483020000 362 x 258 x 218 √ √ 18 € 647,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,47,INVERTERS,Inverter C,Inverter 48/3000 Smart,PIN482300000,485 x 285 x 150,19.0,638.00,1.1461,731.21,731,,,"Inverter 48/3000 Smart PIN482300000 485 x 285 x 150 √ 19 € 638,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,48,INVERTERS,Inverter C,Inverter 48/5000,PIN485020000,444 x 328 x 240,28.0,960.00,1.1461,1100.26,1100,,,"Inverter 48/5000 PIN485020000 444 x 328 x 240 √ √ 28 € 960,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,49,INVERTERS,Inverter C,Inverter 48/5000 Smart,PIN482500000,555 x 295 x 160,28.0,956.00,1.1461,1095.67,1096,,,"Inverter 48/5000 Smart PIN482500000 555 x 295 x 160 √ 28 € 956,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,50,INVERTERS,Inverter C,Inverter RS 48/6000 230V Smart,PIN482600000,425 x 440 x 125,10.0,1233.00,1.1461,1413.14,1413,,,"Inverter RS 48/6000 230V Smart PIN482600000 425 x 440 x 125 √ 10 € 1.233,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,55,INVERTERS WITH SOLAR CHARGE CONTROLLER,,Inverter 12/250-15 IEC,SIN121251100,86 x 165 x 260,2.7,114.00,1.1461,130.66,131,,,"Sun Inverter 12/250-15 IEC SIN121251100 86 x 165 x 260 √ √ 2,7 € 114,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,56,INVERTERS WITH SOLAR CHARGE CONTROLLER,,Inverter 24/250-10 IEC,SIN241251100,86 x 165 x 260,2.7,114.00,1.1461,130.66,131,,,"Sun Inverter 24/250-10 IEC SIN241251100 86 x 165 x 260 √ √ 2,7 € 114,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,2,58,INVERTERS WITH SOLAR CHARGE CONTROLLER,,Inverter RS 48/6000 230V Smart Solar,PIN482601000,425 x 440 x 125,11.0,1709.00,1.1461,1958.68,1959,,,"Inverter RS 48/6000 230V Smart Solar PIN482601000 425 x 440 x 125 √ 11 € 1.709,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,11,INVERTER/CHARGERS,VE.Bus,MultiPlus 12/500/20-16,PMP121500000,311 x 182 x 100,4.4,330.00,1.1461,378.21,378,,,"MultiPlus 12/500/20-16 PMP121500000 311 x 182 x 100 √ √ 4,4 € 330,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,12,INVERTER/CHARGERS,VE.Bus,MultiPlus 12/800/35-16,PMP121800000,360 x 240 x 100,6.4,425.00,1.1461,487.09,487,,,"MultiPlus 12/800/35-16 PMP121800000 360 x 240 x 100 √ √ 6,4 € 425,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,13,INVERTER/CHARGERS,VE.Bus,MultiPlus 12/1200/50-16,PMP122120000,406 x 250 x 100,8.2,520.00,1.1461,595.97,596,,,"MultiPlus 12/1200/50-16 PMP122120000 406 x 250 x 100 √ √ 8,2 € 520,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,14,INVERTER/CHARGERS,VE.Bus,MultiPlus 12/1600/70-16,PMP122160000,465 x 270 x 120,10.0,601.00,1.1461,688.81,689,,,"MultiPlus 12/1600/70-16 PMP122160000 465 x 270 x 120 √ √ 10 € 601,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,15,INVERTER/CHARGERS,VE.Bus,MultiPlus 12/2000/80-32,PMP122200000,506 x 234 x 146,15.0,937.00,1.1461,1073.90,1074,,,"MultiPlus 12/2000/80-32 PMP122200000 506 x 234 x 146 √ √ 15 € 937,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,16,INVERTER/CHARGERS,VE.Bus,MultiPlus C 12/800/35-16,CMP121800000,375 x 214 x 110,10.0,530.00,1.1461,607.43,607,,,"MultiPlus C 12/800/35-16 CMP121800000 375 x 214 x 110 √ √ 10 € 530,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,17,INVERTER/CHARGERS,VE.Bus,MultiPlus C 12/1200/50-16,CMP122120000,375 x 214 x 110,10.0,712.00,1.1461,816.02,816,,,"MultiPlus C 12/1200/50-16 CMP122120000 375 x 214 x 110 √ √ 10 € 712,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,18,INVERTER/CHARGERS,VE.Bus,MultiPlus C 12/1600/70-16,CMP122160000,375 x 214 x 110,10.0,798.00,1.1461,914.59,915,,,"MultiPlus C 12/1600/70-16 CMP122160000 375 x 214 x 110 √ √ 10 € 798,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,19,INVERTER/CHARGERS,VE.Bus,MultiPlus C 12/2000/80-30,CMP122200000,520 x 255 x 125,13.0,974.00,1.1461,1116.30,1116,,,"MultiPlus 12/500/20-16 MultiPlus C 12/2000/80-30 CMP122200000 520 x 255 x 125 √ √ 13 € 974,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,20,INVERTER/CHARGERS,VE.Bus,MultiPlus 12/3000/120-16,PMP122300001,362 x 258 x 218,18.0,1267.00,1.1461,1452.11,1452,,,"MultiPlus 12/800/35-16 MultiPlus 12/3000/120-16 PMP122300001 362 x 258 x 218 √ √ 18 € 1.267,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,21,INVERTER/CHARGERS,VE.Bus,MultiPlus 12/3000/120-50,PMP123021010,362 x 258 x 218,18.0,1367.00,1.1461,1566.72,1567,,,"MultiPlus 12/1200/50-16 MultiPlus 12/3000/120-50 PMP123021010 362 x 258 x 218 √ √ 18 € 1.367,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,22,INVERTER/CHARGERS,VE.Bus,MultiPlus-II 12/3000/120-32,PMP122305010,546 x 275 x 147,19.0,1176.00,1.1461,1347.81,1348,,,"MultiPlus 12/1600/70-16 MultiPlus-II 12/3000/120-32 PMP122305010 546 x 275 x 147 √ √ 19 € 1.176,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,23,INVERTER/CHARGERS,VE.Bus,MultiPlus-II 12/4k/160-32,PMP122405010,595 x 275 x 160,23.0,1372.00,1.1461,1572.45,1572,,,"MultiPlus-II 12/4k/160-32 PMP122405010 595 x 275 x 160 √ √ 23 € 1.372,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,24,INVERTER/CHARGERS,VE.Bus,MultiPlus-II 12/5000/220-50,PMP122505012,702 x 345 x 152,30.0,1873.00,1.1461,2146.65,2147,,,"MultiPlus-II 12/5000/220-50 PMP122505012 702 x 345 x 152 √ √ 30 € 1.873,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,26,INVERTER/CHARGERS,VE.Bus,Quattro 12/3000/120-50/50,QUA123020010,362 x 258 x 218,19.0,1744.00,1.1461,1998.80,1999,,,"Quattro 12/3000/120-50/50 QUA123020010 362 x 258 x 218 √ √ 19 € 1.744,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,27,INVERTER/CHARGERS,VE.Bus,Quattro 12/5000/220-100/100,QUA125020000,470 x 350 x 280,34.0,2572.00,1.1461,2947.77,2948,,,"Quattro 12/5000/220-100/100 QUA125020000 470 x 350 x 280 √ √ 34 € 2.572,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,29,INVERTER/CHARGERS,VE.Bus,MultiPlus 24/500/10-16,PMP241500000,311 x 182 x 100,4.4,330.00,1.1461,378.21,378,,,"MultiPlus 24/500/10-16 PMP241500000 311 x 182 x 100 √ √ 4,4 € 330,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,30,INVERTER/CHARGERS,VE.Bus,MultiPlus 24/800/16-16,PMP241800000,360 x 240 x 100,6.4,425.00,1.1461,487.09,487,,,"MultiPlus 24/800/16-16 PMP241800000 360 x 240 x 100 √ √ 6,4 € 425,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,31,INVERTER/CHARGERS,VE.Bus,MultiPlus 24/1200/25-16,PMP242120000,406 x 250 x 100,8.2,520.00,1.1461,595.97,596,,,"MultiPlus 24/1200/25-16 PMP242120000 406 x 250 x 100 √ √ 8,2 € 520,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,32,INVERTER/CHARGERS,VE.Bus,MultiPlus 24/1600/40-16,PMP242160000,465 x 270 x 120,10.0,668.00,1.1461,765.59,766,,,"MultiPlus 24/1600/40-16 PMP242160000 465 x 270 x 120 √ √ 10 € 668,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,33,INVERTER/CHARGERS,VE.Bus,MultiPlus 24/2000/50-32,PMP242200000,506 x 234 x 146,15.0,874.00,1.1461,1001.69,1002,,,"MultiPlus Compact MultiPlus 24/2000/50-32 PMP242200000 506 x 234 x 146 √ √ 15 € 874,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,34,INVERTER/CHARGERS,VE.Bus,MultiPlus C 24/1600/40-16,CMP242160000,375 x 214 x 110,10.0,758.00,1.1461,868.74,869,,,"MultiPlus C 24/1600/40-16 CMP242160000 375 x 214 x 110 √ √ 10 € 758,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,35,INVERTER/CHARGERS,VE.Bus,MultiPlus C 24/2000/50-30,CMP242200000,520 x 255 x 125,13.0,971.00,1.1461,1112.86,1113,,,"MultiPlus C 24/2000/50-30 CMP242200000 520 x 255 x 125 √ √ 13 € 971,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,36,INVERTER/CHARGERS,VE.Bus,MultiPlus 24/3000/70-16,PMP242300001,362 x 258 x 218,18.0,1200.00,1.1461,1375.32,1375,,,"MultiPlus 24/3000/70-16 PMP242300001 362 x 258 x 218 √ √ 18 € 1.200,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,37,INVERTER/CHARGERS,VE.Bus,MultiPlus 24/3000/70-50,PMP242301011,362 x 258 x 218,18.0,1295.00,1.1461,1484.20,1484,,,"MultiPlus 24/3000/70-50 PMP242301011 362 x 258 x 218 √ √ 18 € 1.295,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,38,INVERTER/CHARGERS,VE.Bus,MultiPlus-II 24/3000/70-32,PMP242305010,499 x 268 x 141,19.0,894.00,1.1461,1024.61,1025,,,"MultiPlus-II 24/3000/70-32 PMP242305010 499 x 268 x 141 √ √ 19 € 894,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,39,INVERTER/CHARGERS,VE.Bus,MultiPlus-II 24/3000/70-32 GX,PMP242306000,499 x 268 x 141,20.0,970.00,1.1461,1111.72,1112,,,"MultiPlus-II 24/3000/70-32 GX PMP242306000 499 x 268 x 141 √ √ 20 € 970,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,40,INVERTER/CHARGERS,VE.Bus,MultiPlus 24/5000/120-100,PMP245021010,444 x 328 x 240,30.0,1804.00,1.1461,2067.56,2068,,,"MultiPlus 24/5000/120-100 PMP245021010 444 x 328 x 240 √ √ 30 € 1.804,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,41,INVERTER/CHARGERS,VE.Bus,MultiPlus-II 24/5000/120-50,PMP242505010,607 x 330 x 149,30.0,1681.00,1.1461,1926.59,1927,,,"MultiPlus-II 24/5000/120-50 PMP242505010 607 x 330 x 149 √ √ 30 € 1.681,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,43,INVERTER/CHARGERS,MultiPlus,Quattro 24/3000/70-50/50,QUA243020010,362 x 258 x 218,19.0,1501.00,1.1461,1720.30,1720,,,"Quattro 24/3000/70-50/50 QUA243020010 362 x 258 x 218 √ √ 19 € 1.501,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,44,INVERTER/CHARGERS,MultiPlus,Quattro 24/5000/120-100/100,QUA245021010,444 x 328 x 240,30.0,2057.00,1.1461,2357.53,2358,,,"Quattro 24/5000/120-100/100 QUA245021010 444 x 328 x 240 √ √ 30 € 2.057,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,45,INVERTER/CHARGERS,MultiPlus,Quattro-II 24/5000/120-50/50,QUA242505010,607 x 330 x 149,31.0,1821.00,1.1461,2087.05,2087,,,"Quattro-II 24/5000/120-50/50 QUA242505010 607 x 330 x 149 √ √ 31 € 1.821,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,46,INVERTER/CHARGERS,MultiPlus,Quattro 24/8000/200-100/100,QUA248020010,470 x 350 x 280,41.0,2597.00,1.1461,2976.42,2976,,,"Quattro 24/8000/200-100/100 QUA248020010 470 x 350 x 280 √ √ 41 € 2.597,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,48,INVERTER/CHARGERS,MultiPlus,MultiPlus 48/500/6-16,PMP481500000,311 x 182 x 100,4.4,276.00,1.1461,316.32,316,,,"MultiPlus 48/500/6-16 PMP481500000 311 x 182 x 100 √ √ 4,4 € 276,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,49,INVERTER/CHARGERS,MultiPlus,MultiPlus 48/800/9-16,PMP481800000,360 x 240 x 100,6.4,325.00,1.1461,372.48,372,,,"MultiPlus 48/800/9-16 PMP481800000 360 x 240 x 100 √ √ 6,4 € 325,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,50,INVERTER/CHARGERS,MultiPlus,MultiPlus 48/1200/13-16,PMP482120000,406 x 250 x 100,8.2,454.00,1.1461,520.33,520,,,"MultiPlus 48/1200/13-16 PMP482120000 406 x 250 x 100 √ √ 8,2 € 454,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,51,INVERTER/CHARGERS,MultiPlus,MultiPlus 48/1600/20-16,PMP482160000,465 x 270 x 120,10.0,515.00,1.1461,590.24,590,,,"MultiPlus 48/1600/20-16 PMP482160000 465 x 270 x 120 √ √ 10 € 515,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,52,INVERTER/CHARGERS,MultiPlus,MultiPlus 48/2000/25-32,PMP482200000,506 x 234 x 146,15.0,574.00,1.1461,657.86,658,,,"MultiPlus 48/2000/25-32 PMP482200000 506 x 234 x 146 √ √ 15 € 574,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,53,INVERTER/CHARGERS,MultiPlus,MultiPlus 48/3000/35-16,PMP483020001,362 x 258 x 218,18.0,875.00,1.1461,1002.84,1003,,,"MultiPlus 48/3000/35-16 PMP483020001 362 x 258 x 218 √ √ 18 € 875,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,54,INVERTER/CHARGERS,MultiPlus,MultiPlus 48/3000/35-50,PMP483021010,362 x 258 x 218,18.0,914.00,1.1461,1047.54,1048,,,"MultiPlus 48/3000/35-50 PMP483021010 362 x 258 x 218 √ √ 18 € 914,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,55,INVERTER/CHARGERS,MultiPlus,MultiPlus-II 48/3000/35-32 MultiPlus-II 48/3000/35-32,PMP482305010,499 x 268 x 141,19.0,624.00,1.1461,715.17,715,,,"MultiPlus-II 48/3000/35-32 MultiPlus-II 48/3000/35-32 PMP482305010 499 x 268 x 141 √ √ 19 € 624,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,56,INVERTER/CHARGERS,MultiPlus,MultiPlus-II 48/3000/35-32 GX,PMP482306000,499 x 268 x 141,20.0,711.00,1.1461,814.88,815,,,"MultiPlus-II 48/3000/35-32 GX PMP482306000 499 x 268 x 141 √ √ 20 € 711,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,57,INVERTER/CHARGERS,MultiPlus,MultiPlus-II 48/4k5/55-32,PMP482405012,590 x 275 x 149,19.0,769.00,1.1461,881.35,881,,,"MultiPlus-II 48/4k5/55-32 PMP482405012 590 x 275 x 149 √ √ 19 € 769,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,58,INVERTER/CHARGERS,MultiPlus,MultiPlus-II 48/4k5/55-32 GX,PMP482406000,590 x 275 x 149,21.0,905.00,1.1461,1037.22,1037,,,"MultiPlus-II 48/4k5/55-32 GX PMP482406000 590 x 275 x 149 √ √ 21 € 905,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,59,INVERTER/CHARGERS,MultiPlus,MultiPlus-II 48/5000/70-50,PMP482505012,565 x 320 x 149,30.0,844.00,1.1461,967.31,967,,,"MultiPlus-II 48/5000/70-50 PMP482505012 565 x 320 x 149 √ √ 30 € 844,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,60,INVERTER/CHARGERS,MultiPlus,MultiPlus-II 48/5000/70-50-GX,PMP482506000,565 x 320 x 149,31.0,1041.00,1.1461,1193.09,1193,,,"MultiPlus-II 48/5000/70-50-GX PMP482506000 565 x 320 x 149 √ √ 31 € 1.041,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,61,INVERTER/CHARGERS,MultiPlus,MultiPlus-II 48/6k5/100-50,PMP482605012,644 x 320 x 150,30.0,977.00,1.1461,1119.74,1120,,,"MultiPlus-II 48/6k5/100-50 PMP482605012 644 x 320 x 150 √ √ 30 € 977,00"
Victron Energy Pricelist 2026-Q2 Euro C Ex VAT,3,62,INVERTER/CHARGERS,MultiPlus,MultiPlus-II 48/6k5/100-50 GX,PMP482606000,644 x 320 x 150,29.0,1162.00,1.1461,1331.77,1332,,,"MultiPlus-II 48/6k5/100-50 GX PMP482606000 644 x 320 x 150 √ √ 29 € 1.162,00"
